STORE,STATE,STORE_TYPE,AREA,COUNTRY,AVERAGE_BASKET_SIZE,NO_OF_TRANSACTIONS,AVG_BASKET_DOLLARS,TOTAL_SALES_UNITS,TOTAL_SALES_DOLLARS,Cluster
1223,S.A,KMART,Middle Metro,AUSTRALIA,4.74863,790029,37.60424479,3850317,29708443.91,3
1098,NSW,KMART,Satellite City/Regional City,AUSTRALIA,4.795018,757344,36.05214327,3656287,27303874.4,2
1064,NSW,KMART,Inner Regional,AUSTRALIA,4.794335,536925,38.133241,2625239,20474690.43,3
1279,NSW,KMART,Satellite City/Regional City,AUSTRALIA,4.87885,970828,35.27624157,4611189,34247163.05,2
1001,VIC,KMART,Middle Metro,AUSTRALIA,4.885706,1342196,40.25930092,6845018,54035872.66,1
3323,NSW,K-HUB,Outer Regional,AUSTRALIA,4.830264,124023,35.02225216,496948,4343564.78,0
1031,QLD,KMART,Middle Metro,AUSTRALIA,5.955787,656204,51.78043704,4283473,33978529.91,3
1283,QLD,KMART,Outer Metro,AUSTRALIA,6.02974,659905,47.04268953,4042428,31043706.04,3
1227,NSW,KMART,Outer Metro,AUSTRALIA,5.12971,689149,41.13123568,3617497,28345549.93,3
1288,VIC,K-HUB,Outer Regional,AUSTRALIA,3.909339,213796,31.48669923,789637,6731730.35,1
1364,NSW,KMART,Middle Metro,AUSTRALIA,4.001883,556102,28.95260923,1978665,16100603.9,3
1060,QLD,KMART,Satellite City/Regional City,AUSTRALIA,4.648554,1433537,36.3153863,6941363,52059449.93,2
1087,NSW,KMART,Outer Regional,AUSTRALIA,5.429961,639047,44.19033023,3576232,28239697.96,0
3309,VIC,K-HUB,Inner Regional,AUSTRALIA,3.97608,138240,33.19415345,513214,4588759.77,1
1371,NSW,KMART,Middle Metro,AUSTRALIA,4.517543,1057444,35.78878563,4844840,37844636.63,3
1359,W.A,KMART,Remote,AUSTRALIA,5.688274,341327,45.96093757,1865251,15687708.94,1
3311,QLD,K-HUB,Inner Regional,AUSTRALIA,3.897831,158804,31.14387888,564511,4945772.54,3
1365,NSW,KMART,Remote,AUSTRALIA,5.123185,282774,40.07438938,1342601,11331995.38,0
3355,NSW,K-HUB,Outer Regional,AUSTRALIA,4.674071,110642,36.89161039,467000,4081761.56,0
1355,VIC,KMART,Inner Regional,AUSTRALIA,4.864359,299655,35.7988578,1324744,10727306.73,1
3354,NSW,K-HUB,Outer Regional,AUSTRALIA,4.357885,151968,30.91120278,555000,4697513.66,0
1127,NSW,KMART,Inner Metro,AUSTRALIA,4.448842,1163805,35.02310564,5313320,40760065.45,3
1090,VIC,KMART,Middle Metro,AUSTRALIA,4.14593,1050888,31.05582355,4369795,32636192.3,1
1125,QLD,KMART,Satellite City/Regional City,AUSTRALIA,4.442593,754256,34.26006791,3462671,25840861.78,2
1165,NSW,KMART,Inner Regional,AUSTRALIA,4.651,556282,37.05263218,2690639,20611712.34,3
1289,VIC,K-HUB,Outer Regional,AUSTRALIA,4.091849,131880,33.69610881,498576,4443842.83,1
3349,VIC,K-HUB,Outer Regional,AUSTRALIA,3.465508,117145,27.71217024,367882,3246342.18,1
1004,W.A,KMART,Middle Metro,AUSTRALIA,4.824559,1079162,37.37888007,5239885,40337866.97,1
3344,NSW,K-HUB,Inner Regional,AUSTRALIA,3.871036,195795,32.20400914,702794,6305383.97,3
