STORE,STATE,STORE_TYPE,AREA,COUNTRY,AVERAGE_BASKET_SIZE,NO_OF_TRANSACTIONS,AVG_BASKET_DOLLARS,TOTAL_SALES_UNITS,TOTAL_SALES_DOLLARS,LATITUDE,LONGITUDE,Cluster
1071,10,2,7,2,-0.08823087664314473,-1.6289439823545278,-0.12415333217893551,-1.6269557999051023,-1.669331753954988,9.996888482166584,2.0029365425029355,0
1177,4,1,3,0,-0.08734029335989701,0.30134957748788976,-0.12412448201900152,0.39473087294188813,0.3167614239516438,8.374085598359256,0.2781202851555559,1
3333,2,0,1,0,-0.08747045295266513,-1.1656760709473386,-0.1241275196154777,-1.2443598200715638,-1.2428571242934254,8.374085598359256,0.2781202851555559,4
1051,8,1,6,0,-0.08743563782645992,0.02096844608308092,-0.12412698817100229,-0.05267092023277178,-0.1191919343802109,7.998572190140489,-0.0032095892942204103,1
1384,8,1,0,0,-0.08767200635921826,3.119309893106262,-0.124133385812685,1.6570676658267325,1.7084020002814102,7.998572190140489,-0.0032095892942204103,3
1138,8,1,3,0,-0.08742031609241623,0.011564598526123755,-0.12412704252168293,-0.08689335659818108,-0.13120699039936234,7.998572190140489,-0.0032095892942204103,1
1151,5,1,2,0,-0.08751935159667595,1.3279888235255288,-0.12413019834767164,0.9594438824187381,0.7702582956556586,8.374085598359256,0.2781202851555559,3
1158,9,1,2,0,-0.08747904759001832,1.4215085362769233,-0.12412755082171704,1.0911929053528333,1.1354422180505552,8.9996866,-0.0144207,3
1239,4,1,4,0,-0.08722962534305828,0.08604012134943487,-0.12411977288178713,0.30628142732763847,0.3832528171920295,8.374085598359256,0.2781202851555559,1
1029,4,1,6,0,-0.08714345262160014,0.28327679636639314,-0.12411941922289162,0.6232128414281503,0.6434343740812488,8.374085598359256,0.2781202851555559,1
1293,8,0,1,0,-0.087505967101202,-1.2597552337967672,-0.12412928381993511,-1.3484201024506612,-1.3526927903803614,7.998572190140489,-0.0032095892942204103,4
1380,2,1,3,0,-0.08739036642499319,1.20751633082384,-0.12412597730609708,1.1066058445515465,1.097860043882549,8.374085598359256,0.2781202851555559,3
1040,7,1,1,0,-0.08732904861287258,0.28661569626966105,-0.12412388846074608,0.31255467763650496,0.3421512917449275,6.9962252218361565,-0.0017697680537046693,1
3347,4,0,4,0,-0.08768435492130491,-1.1889619098005177,-0.12413486719777679,-1.3503180734087703,-1.3795881747410903,8.374085598359256,0.2781202851555559,4
1363,4,1,2,0,-0.08737621434442557,0.07368136009286055,-0.1241269556252669,0.008823441347564392,-0.06769047593183056,8.374085598359256,0.2781202851555559,1
3319,4,0,4,0,-0.08739589344631986,-1.3558357022241638,-0.1241243013945063,-1.395579707686121,-1.386567085794551,8.374085598359256,0.2781202851555559,4
3360,5,0,4,0,-0.08718972022637686,-0.9728081926050295,-0.12412191387602607,-0.956018964709549,-0.9341315920653461,8.374085598359256,0.2781202851555559,4
9995,10,1,7,0,-0.08797546900328036,-1.6289439823545278,-0.12477285039876859,-1.6269763074249088,-1.6693879386894368,9.9314057,-0.14438729707545067,0
